Comp,Event,Date,Time,Inst,Ptimepick,Stimepick
manual,102,17/11/2023,16:46:29,1,12.39,14.08
manual,102,17/11/2023,16:46:29,2,12.32,13.95
manual,102,17/11/2023,16:46:29,3,,
manual,102,17/11/2023,16:46:29,4,,
manual,102,17/11/2023,16:46:29,5,13.68,16.43
manual,102,17/11/2023,16:46:29,6,13.61,16.23
manual,102,17/11/2023,16:46:29,7,,
manual,102,17/11/2023,16:46:29,8,,
manual,102,17/11/2023,16:46:29,9,12.08,13.42
manual,102,17/11/2023,16:46:29,10,12.01,13.4
manual,73,01/10/2023,14:05:33,1,12.2,13.88
manual,73,01/10/2023,14:05:33,2,12.15,13.69
manual,73,01/10/2023,14:05:33,3,,
manual,73,01/10/2023,14:05:33,4,15.82,19.76
manual,73,01/10/2023,14:05:33,5,15.39,19.51
manual,73,01/10/2023,14:05:33,6,15.34,19.35
manual,73,01/10/2023,14:05:33,7,13.86,16.68
manual,73,01/10/2023,14:05:33,8,13.79,16.56
manual,73,01/10/2023,14:05:33,9,12.95,15.12
manual,73,01/10/2023,14:05:33,10,12.89,15.0
manual,62,01/10/2023,14:53:15,1,14.74,18.2
manual,62,01/10/2023,14:53:15,2,14.76,18.14
manual,62,01/10/2023,14:53:15,3,,
manual,62,01/10/2023,14:53:15,4,,
manual,62,01/10/2023,14:53:15,5,11.75,13.07
manual,62,01/10/2023,14:53:15,6,11.64,12.87
manual,62,01/10/2023,14:53:15,7,13.0,15.24
manual,62,01/10/2023,14:53:15,8,12.92,15.08
manual,62,01/10/2023,14:53:15,9,13.72,16.31
manual,62,01/10/2023,14:53:15,10,13.61,16.25
manual,86,04/10/2023,21:33:36,1,14.73,18.18
manual,86,04/10/2023,21:33:36,2,14.71,18.11
manual,86,04/10/2023,21:33:36,3,21.24,
manual,86,04/10/2023,21:33:36,4,21.11,
manual,86,04/10/2023,21:33:36,5,12.13,13.71
manual,86,04/10/2023,21:33:36,6,12.02,13.5
manual,86,04/10/2023,21:33:36,7,12.91,15.05
manual,86,04/10/2023,21:33:36,8,12.83,14.93
manual,86,04/10/2023,21:33:36,9,13.65,16.29
manual,86,04/10/2023,21:33:36,10,13.61,16.23
manual,15,05/10/2023,01:47:04,1,18.12,24.16
manual,15,05/10/2023,01:47:04,2,18.11,24.06
manual,15,05/10/2023,01:47:04,3,,
manual,15,05/10/2023,01:47:04,4,,
manual,15,05/10/2023,01:47:04,5,14.45,17.81
manual,15,05/10/2023,01:47:04,6,14.36,17.63
manual,15,05/10/2023,01:47:04,7,16.37,21.13
manual,15,05/10/2023,01:47:04,8,16.32,21.02
manual,15,05/10/2023,01:47:04,9,22.24,
manual,15,05/10/2023,01:47:04,10,22.12,
manual,67,05/10/2023,08:32:00,1,13.05,15.25
manual,67,05/10/2023,08:32:00,2,13.02,15.16
manual,67,05/10/2023,08:32:00,3,15.17,18.86
manual,67,05/10/2023,08:32:00,4,15.11,18.82
manual,67,05/10/2023,08:32:00,5,12.1,13.67
manual,67,05/10/2023,08:32:00,6,12.01,13.48
manual,67,05/10/2023,08:32:00,7,11.77,12.97
manual,67,05/10/2023,08:32:00,8,11.71,12.87
manual,67,05/10/2023,08:32:00,9,12.06,13.49
manual,67,05/10/2023,08:32:00,10,11.99,13.4
manual,17,05/10/2023,11:14:04,1,12.57,14.37
manual,17,05/10/2023,11:14:04,2,12.5,14.25
manual,17,05/10/2023,11:14:04,3,19.99,
manual,17,05/10/2023,11:14:04,4,19.89,
manual,17,05/10/2023,11:14:04,5,13.87,16.71
manual,17,05/10/2023,11:14:04,6,13.78,16.53
manual,17,05/10/2023,11:14:04,7,12.59,14.39
manual,17,05/10/2023,11:14:04,8,12.51,14.21
manual,17,05/10/2023,11:14:04,9,13.87,13.87
manual,17,05/10/2023,11:14:04,10,13.73,
manual,9,05/10/2023,14:47:43,1,14.79,18.23
manual,9,05/10/2023,14:47:43,2,14.76,18.13
manual,9,05/10/2023,14:47:43,3,,
manual,9,05/10/2023,14:47:43,4,,
manual,9,05/10/2023,14:47:43,5,11.76,13.07
manual,9,05/10/2023,14:47:43,6,11.65,12.88
manual,9,05/10/2023,14:47:43,7,13.03,15.25
manual,9,05/10/2023,14:47:43,8,12.94,15.09
manual,9,05/10/2023,14:47:43,9,,16.28
manual,9,05/10/2023,14:47:43,10,13.63,16.24
manual,81,05/10/2023,19:31:49,1,13.27,15.63
manual,81,05/10/2023,19:31:49,2,13.28,15.58
manual,81,05/10/2023,19:31:49,3,,
manual,81,05/10/2023,19:31:49,4,,
manual,81,05/10/2023,19:31:49,5,11.79,13.1
manual,81,05/10/2023,19:31:49,6,11.69,12.92
manual,81,05/10/2023,19:31:49,7,11.82,13.03
manual,81,05/10/2023,19:31:49,8,11.7,12.88
manual,81,05/10/2023,19:31:49,9,12.21,13.81
manual,81,05/10/2023,19:31:49,10,12.15,13.72
manual,83,08/10/2023,21:14:22,1,,17.4
manual,83,08/10/2023,21:14:22,2,14.25,17.31
manual,83,08/10/2023,21:14:22,3,,
manual,83,08/10/2023,21:14:22,4,,
manual,83,08/10/2023,21:14:22,5,12.34,14.02
manual,83,08/10/2023,21:14:22,6,12.22,13.81
manual,83,08/10/2023,21:14:22,7,12.83,14.87
manual,83,08/10/2023,21:14:22,8,12.76,14.73
manual,83,08/10/2023,21:14:22,9,,15.67
manual,83,08/10/2023,21:14:22,10,13.09,15.57
manual,38,10/10/2023,15:29:58,1,13.08,15.3
manual,38,10/10/2023,15:29:58,2,13.05,15.21
manual,38,10/10/2023,15:29:58,3,15.2,18.96
manual,38,10/10/2023,15:29:58,4,15.16,18.95
