epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,159.5,0.013857,0.009099,0.9648,0.7828,0.9659,0.9637,0.7868,0.7788,1.32,3.32
2,318.6,0.009003,0.008983,0.9682,0.7871,0.9699,0.9666,0.7916,0.7827,1.32,3.22
3,476.3,0.008911,0.008928,0.967,0.7893,0.9674,0.9667,0.7968,0.7819,1.25,3.19
4,634.9,0.00886,0.008892,0.9697,0.7886,0.9701,0.9692,0.7922,0.785,1.22,3.2
5,799.9,0.008823,0.008872,0.9708,0.7905,0.9718,0.9697,0.7951,0.7858,1.25,3.17
6,957.6,0.008792,0.008866,0.97,0.7915,0.9704,0.9696,0.7963,0.7867,1.27,3.14
7,1115.9,0.008767,0.008845,0.9713,0.7918,0.9716,0.971,0.7954,0.7882,1.23,3.23
8,1276.1,0.008743,0.008824,0.972,0.7935,0.9728,0.9713,0.7976,0.7896,1.22,3.19
9,1434.1,0.008723,0.008815,0.9728,0.7919,0.9735,0.9722,0.7962,0.7876,1.24,3.18
10,1594.5,0.008704,0.00883,0.9716,0.7925,0.9725,0.9707,0.7958,0.7892,1.23,3.16
11,1755.1,0.008685,0.008821,0.9719,0.7932,0.9721,0.9717,0.7988,0.7877,1.23,3.18
12,1914.7,0.008666,0.008815,0.9726,0.7929,0.9729,0.9723,0.7962,0.7896,1.25,3.16
13,2076.5,0.008648,0.008814,0.9725,0.7934,0.9726,0.9723,0.798,0.7888,1.23,3.14
14,2235.9,0.00863,0.008807,0.9726,0.7932,0.9731,0.9721,0.7975,0.7891,1.22,3.14
15,2394.2,0.008613,0.008812,0.9723,0.7935,0.9727,0.9719,0.7962,0.7909,1.22,3.17
16,2554.8,0.008593,0.008818,0.972,0.793,0.9725,0.9715,0.7967,0.7893,1.19,3.15
17,2714.7,0.008573,0.00884,0.9717,0.7927,0.9721,0.9713,0.7952,0.7902,1.18,3.16
18,2877.1,0.008552,0.008839,0.9729,0.7929,0.9733,0.9725,0.796,0.7898,1.2,3.15
19,3037.4,0.008531,0.008866,0.9708,0.7931,0.9711,0.9704,0.7962,0.79,1.21,3.15
20,3201.2,0.008509,0.00887,0.9716,0.7931,0.972,0.9712,0.7951,0.7911,1.22,3.16
21,3361.9,0.008485,0.008905,0.9717,0.7929,0.9723,0.971,0.7964,0.7894,1.2,3.16
22,3521.4,0.008464,0.008905,0.9716,0.7932,0.9719,0.9712,0.7965,0.7899,1.2,3.16
23,3679.2,0.008437,0.008902,0.9708,0.7921,0.9712,0.9704,0.7979,0.7865,1.2,3.16
24,3835.9,0.008408,0.008938,0.9714,0.7907,0.972,0.9708,0.7936,0.7878,1.21,3.13
25,3993.8,0.008379,0.008983,0.9708,0.79,0.971,0.9705,0.7934,0.7865,1.22,3.19
26,4153.4,0.008349,0.00902,0.97,0.7883,0.9706,0.9693,0.791,0.7856,1.19,3.17
27,4313.0,0.008321,0.009032,0.9708,0.7869,0.9712,0.9703,0.7892,0.7846,1.21,3.15
28,4472.7,0.008288,0.009051,0.9708,0.7885,0.9715,0.9702,0.7924,0.7847,1.2,3.17
29,4632.1,0.008255,0.009087,0.9704,0.7837,0.9709,0.9698,0.7873,0.7801,1.18,3.17
