epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,157.2,0.014382,0.009175,0.9594,0.7822,0.9609,0.9578,0.7922,0.7724,1.28,3.23
2,314.6,0.009025,0.008989,0.9672,0.7864,0.9677,0.9667,0.7904,0.7824,1.29,3.26
3,471.5,0.008931,0.008941,0.9671,0.7886,0.9681,0.9661,0.7948,0.7825,1.22,3.2
4,628.3,0.008874,0.008938,0.9672,0.7894,0.9678,0.9667,0.796,0.783,1.21,3.23
5,785.5,0.008834,0.008873,0.9692,0.7912,0.9698,0.9687,0.7951,0.7873,1.21,3.19
6,942.5,0.008802,0.008867,0.9706,0.7915,0.9709,0.9702,0.7969,0.7862,1.27,3.15
7,1099.8,0.008777,0.008848,0.9703,0.7918,0.9706,0.97,0.7982,0.7854,1.24,3.15
8,1256.7,0.008752,0.008862,0.97,0.7935,0.9703,0.9697,0.7988,0.7882,1.24,3.23
9,1413.8,0.00873,0.008825,0.9717,0.7935,0.9721,0.9713,0.7982,0.7889,1.22,3.15
10,1570.8,0.008711,0.008812,0.9718,0.7934,0.9723,0.9714,0.7966,0.7903,1.22,3.14
11,1727.7,0.008692,0.008816,0.9715,0.7929,0.9718,0.9711,0.7964,0.7893,1.21,3.15
12,1884.6,0.008674,0.008813,0.971,0.7947,0.9712,0.9708,0.7984,0.791,1.21,3.16
13,2041.7,0.008657,0.008811,0.9713,0.7943,0.9717,0.9708,0.7981,0.7905,1.2,3.14
14,2198.7,0.00864,0.0088,0.972,0.7949,0.9723,0.9718,0.7995,0.7902,1.19,3.16
15,2355.7,0.008622,0.008806,0.9715,0.7939,0.9719,0.971,0.7962,0.7915,1.22,3.14
16,2513.1,0.008604,0.008811,0.9714,0.7952,0.9717,0.971,0.7986,0.7917,1.19,3.15
17,2670.2,0.008587,0.008823,0.9716,0.7925,0.972,0.9712,0.7955,0.7895,1.21,3.13
18,2827.1,0.008568,0.008808,0.972,0.7953,0.9723,0.9718,0.7986,0.792,1.21,3.12
19,2984.0,0.008549,0.008839,0.9718,0.7939,0.9726,0.9709,0.7969,0.7909,1.22,3.13
20,3141.0,0.008529,0.008844,0.9701,0.7946,0.9705,0.9698,0.7988,0.7905,1.18,3.15
21,3298.0,0.008508,0.00884,0.9719,0.7937,0.9719,0.9718,0.7966,0.791,1.2,3.13
22,3455.1,0.008488,0.00888,0.9712,0.7941,0.9716,0.9708,0.797,0.7912,1.25,3.2
23,3612.1,0.008466,0.00889,0.9707,0.7928,0.9709,0.9705,0.7955,0.79,1.18,3.13
24,3769.1,0.008443,0.008899,0.9704,0.7937,0.9706,0.9703,0.797,0.7904,1.19,3.18
25,3926.1,0.008417,0.008925,0.9705,0.7926,0.9707,0.9703,0.7953,0.7899,1.22,3.16
26,4083.4,0.008391,0.008959,0.9706,0.7901,0.971,0.9702,0.7932,0.787,1.2,3.15
27,4240.6,0.008365,0.008965,0.9701,0.7905,0.9699,0.9702,0.7939,0.7871,1.19,3.13
28,4397.5,0.008335,0.008969,0.9701,0.7915,0.9702,0.9699,0.7959,0.7872,1.2,3.15
29,4554.9,0.008305,0.009009,0.9701,0.7901,0.9706,0.9696,0.7936,0.7867,1.17,3.16
