epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,161.2,0.03781,0.03227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,322.4,0.031274,0.0299,0.0266,0.0125,0.4576,0.0137,0.4594,0.0064,2.52,4.86
3,483.9,0.028356,0.027043,0.1237,0.097,0.5579,0.0696,0.4563,0.0542,2.29,4.79
4,645.6,0.025849,0.025256,0.1844,0.1776,0.508,0.1127,0.4347,0.1116,2.09,4.79
5,807.5,0.024542,0.024444,0.205,0.2171,0.5473,0.1261,0.4718,0.141,2.01,4.77
6,969.3,0.023797,0.023981,0.2252,0.2536,0.5234,0.1434,0.4727,0.1733,1.94,4.83
7,1131.2,0.023283,0.023698,0.2419,0.2652,0.5166,0.1579,0.4799,0.1832,1.9,4.84
8,1293.1,0.022891,0.023481,0.2611,0.278,0.4843,0.1788,0.4698,0.1974,1.91,4.72
9,1455.1,0.02257,0.023366,0.2665,0.2884,0.4964,0.1821,0.4781,0.2064,1.82,4.82
10,1616.9,0.022295,0.023268,0.2795,0.292,0.4676,0.1993,0.4882,0.2083,1.83,4.81
11,1778.8,0.02205,0.02309,0.2795,0.2948,0.5022,0.1936,0.4912,0.2106,1.83,4.81
12,1940.7,0.021837,0.023077,0.2765,0.3018,0.5149,0.189,0.4921,0.2176,1.88,4.76
13,2102.6,0.021637,0.023033,0.2752,0.3006,0.5239,0.1866,0.4931,0.2162,1.82,4.82
14,2264.4,0.021458,0.023035,0.2894,0.3088,0.4898,0.2054,0.4771,0.2283,1.79,4.77
15,2426.3,0.021288,0.023147,0.282,0.3052,0.499,0.1966,0.479,0.2239,1.77,4.8
16,2588.2,0.02113,0.023054,0.2861,0.3137,0.5151,0.1981,0.4798,0.233,1.84,4.81
17,2750.0,0.02098,0.023081,0.2953,0.3153,0.4847,0.2123,0.474,0.2363,1.77,4.8
18,2911.9,0.020839,0.023082,0.2967,0.3143,0.4763,0.2155,0.4808,0.2335,1.75,4.73
19,3073.6,0.020707,0.023183,0.3072,0.3174,0.4537,0.2322,0.4758,0.2381,1.78,4.7
20,3235.5,0.02058,0.023196,0.2948,0.3153,0.4869,0.2114,0.466,0.2383,1.8,4.75
21,3397.4,0.020459,0.023274,0.3037,0.3173,0.4622,0.2261,0.4703,0.2395,1.76,4.77
22,3559.3,0.020342,0.02331,0.3018,0.3138,0.463,0.2238,0.4572,0.2389,1.75,4.78
23,3721.1,0.020228,0.023316,0.3022,0.3165,0.4745,0.2217,0.4666,0.2395,1.75,4.8
24,3883.0,0.020125,0.023454,0.3076,0.3201,0.4519,0.2331,0.4643,0.2442,1.77,4.79
25,4044.8,0.020024,0.023425,0.3055,0.3163,0.4662,0.2272,0.4583,0.2414,1.75,4.77
26,4206.7,0.019928,0.02345,0.3007,0.3155,0.4758,0.2198,0.4543,0.2416,1.77,4.77
27,4368.5,0.019834,0.023636,0.3019,0.3159,0.4645,0.2236,0.4497,0.2435,1.76,4.8
28,4530.4,0.019741,0.023644,0.3015,0.3179,0.4663,0.2227,0.4464,0.2468,1.77,4.79
