epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,43.7,0.047525,0.017247,0.714,0.519,0.7761,0.6611,0.6417,0.4357,3.2,4.18
2,87.3,0.01654,0.016222,0.7265,0.5454,0.795,0.6689,0.5794,0.5152,3.1,4.2
3,130.9,0.015956,0.015815,0.7299,0.5558,0.7921,0.6767,0.6165,0.5059,3.11,4.02
4,174.6,0.015649,0.015607,0.7366,0.5586,0.7947,0.6864,0.6385,0.4964,3.15,4.04
5,218.4,0.015451,0.01541,0.7378,0.5632,0.7952,0.6881,0.641,0.5022,3.07,4.07
6,262.1,0.015288,0.015556,0.7437,0.5462,0.8066,0.6898,0.5704,0.5239,3.06,4.06
7,305.9,0.015167,0.015238,0.7421,0.5679,0.7953,0.6955,0.6244,0.5208,3.14,4.02
8,349.6,0.015056,0.015349,0.747,0.5642,0.8101,0.6931,0.5742,0.5546,3.11,4.13
9,393.4,0.014958,0.015235,0.7428,0.5657,0.8053,0.6893,0.6186,0.5211,3.06,4.04
10,437.1,0.014887,0.015114,0.7479,0.5685,0.8179,0.6888,0.5904,0.5482,3.05,4.03
11,480.8,0.014799,0.015072,0.7482,0.569,0.8018,0.7013,0.6206,0.5253,3.15,3.96
12,524.6,0.014728,0.015032,0.7474,0.573,0.8058,0.6969,0.6189,0.5334,3.05,4.07
13,568.3,0.014668,0.014968,0.7538,0.5695,0.8098,0.7052,0.6202,0.5265,3.06,4.06
14,612.1,0.01459,0.015045,0.7487,0.5687,0.8027,0.7015,0.6641,0.4972,3.1,4.04
15,655.8,0.014528,0.015013,0.7488,0.5745,0.8,0.7038,0.6288,0.5289,3.0,4.0
16,699.5,0.01446,0.015088,0.7511,0.5716,0.8031,0.7054,0.6541,0.5076,3.05,4.11
17,743.3,0.014402,0.015104,0.7461,0.572,0.7821,0.7132,0.6254,0.5271,3.06,4.0
18,787.0,0.014333,0.014958,0.7486,0.5759,0.8004,0.703,0.6393,0.5239,3.05,4.07
19,830.8,0.014262,0.015049,0.7467,0.5755,0.7956,0.7035,0.6379,0.5242,3.01,4.1
20,874.5,0.014193,0.015119,0.7482,0.568,0.7931,0.7081,0.6491,0.5049,3.06,4.05
21,918.3,0.014117,0.015136,0.7478,0.5686,0.7959,0.7053,0.6608,0.499,3.06,4.05
22,962.0,0.014038,0.01517,0.7456,0.5763,0.7981,0.6996,0.6197,0.5386,3.04,4.02
23,1005.7,0.013959,0.015168,0.7466,0.571,0.7855,0.7114,0.6362,0.518,3.1,4.1
24,1049.5,0.013877,0.015231,0.7452,0.5689,0.7884,0.7066,0.5841,0.5545,3.01,4.06
25,1093.3,0.013785,0.015245,0.7458,0.5735,0.7904,0.7059,0.6495,0.5134,3.07,4.05
26,1137.0,0.013686,0.015331,0.7463,0.573,0.7878,0.7089,0.6074,0.5423,3.07,4.07
27,1180.7,0.013592,0.015514,0.7433,0.5666,0.7904,0.7015,0.5897,0.5453,3.01,4.14
28,1224.5,0.013488,0.015544,0.7434,0.5741,0.7887,0.7031,0.6138,0.5392,3.07,4.11
29,1269.4,0.013379,0.015542,0.742,0.566,0.7864,0.7024,0.5858,0.5475,3.05,4.14
30,1313.5,0.01327,0.015753,0.7398,0.5659,0.7752,0.7074,0.5979,0.5371,3.02,4.06
31,1357.3,0.013162,0.015812,0.7386,0.5692,0.7814,0.7002,0.6221,0.5246,3.17,4.11
32,1401.1,0.013046,0.016001,0.7361,0.5628,0.7701,0.705,0.5856,0.5417,3.03,4.11
33,1444.9,0.012924,0.016234,0.7364,0.563,0.7755,0.701,0.6057,0.526,3.04,4.17
