epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,23.2,0.05113,0.016565,0.6703,0.5264,0.7314,0.6186,0.5966,0.471,3.87,4.43
2,46.2,0.01599,0.015495,0.696,0.5548,0.7614,0.6409,0.625,0.4988,3.79,4.33
3,69.3,0.015378,0.015127,0.7041,0.5594,0.7648,0.6523,0.6287,0.5038,3.67,4.27
4,92.4,0.015075,0.014958,0.7102,0.5645,0.7739,0.6562,0.5989,0.5338,3.63,4.26
5,115.4,0.014894,0.014872,0.7104,0.5668,0.7577,0.6686,0.5809,0.5534,3.59,4.37
6,138.4,0.01473,0.014773,0.7144,0.5685,0.7617,0.6726,0.6518,0.5041,3.59,4.19
7,161.5,0.014607,0.01468,0.7107,0.5737,0.7691,0.6605,0.6261,0.5294,3.6,4.22
8,184.7,0.014507,0.014508,0.7195,0.5729,0.767,0.6775,0.6153,0.536,3.51,4.27
9,207.9,0.014415,0.014718,0.708,0.5734,0.7685,0.6563,0.6426,0.5177,3.52,4.26
10,231.0,0.014319,0.014427,0.7211,0.5814,0.7676,0.6798,0.6279,0.5413,3.48,4.2
11,254.2,0.01422,0.01441,0.7197,0.5765,0.7663,0.6784,0.6254,0.5346,3.4,4.2
12,277.4,0.014119,0.014436,0.7118,0.5749,0.7639,0.6664,0.6131,0.5413,3.46,4.16
13,300.5,0.014019,0.014314,0.7252,0.576,0.7803,0.6773,0.643,0.5216,3.43,4.14
14,323.6,0.013948,0.014446,0.7226,0.5716,0.7754,0.6764,0.6333,0.5209,3.43,4.29
15,346.8,0.013873,0.014331,0.7206,0.5806,0.7635,0.6823,0.6316,0.5371,3.58,4.15
16,369.9,0.013802,0.014231,0.7278,0.5815,0.7756,0.6855,0.6249,0.5438,3.36,4.17
17,393.0,0.013728,0.014186,0.7277,0.581,0.7754,0.6855,0.6184,0.5479,3.38,4.21
18,416.0,0.013656,0.014202,0.7283,0.5779,0.7753,0.6867,0.6118,0.5476,3.4,4.25
19,439.1,0.013596,0.014289,0.7247,0.5822,0.7666,0.6872,0.6372,0.536,3.39,4.18
20,462.2,0.013527,0.01434,0.7226,0.5837,0.7711,0.6798,0.6311,0.5429,3.4,4.2
21,485.2,0.013461,0.014304,0.7264,0.5838,0.7673,0.6896,0.6213,0.5505,3.36,4.19
22,508.2,0.013393,0.014334,0.725,0.583,0.7728,0.6828,0.6125,0.5562,3.36,4.2
23,531.2,0.013313,0.014485,0.7244,0.5808,0.7661,0.687,0.6234,0.5437,3.39,4.17
24,554.4,0.013244,0.01443,0.722,0.582,0.7699,0.6797,0.6208,0.5477,3.33,4.21
25,577.4,0.01316,0.014585,0.7246,0.5814,0.7687,0.6854,0.625,0.5435,3.34,4.18
26,600.5,0.013081,0.0146,0.7207,0.5813,0.7596,0.6855,0.6236,0.5444,3.38,4.19
27,623.6,0.013,0.014486,0.7254,0.5786,0.7664,0.6885,0.6051,0.5544,3.33,4.19
28,646.7,0.012907,0.0147,0.7206,0.5789,0.7597,0.6853,0.6081,0.5524,3.34,4.19
29,669.8,0.012819,0.014853,0.7223,0.5744,0.7599,0.6883,0.5976,0.553,3.38,4.2
30,693.0,0.012725,0.014981,0.7158,0.571,0.7517,0.6832,0.5802,0.5621,3.38,4.23
31,716.1,0.012627,0.015142,0.7191,0.5729,0.7566,0.6851,0.6019,0.5465,3.37,4.17
32,739.2,0.012518,0.015061,0.7213,0.5707,0.7604,0.6861,0.5899,0.5527,3.35,4.2
