epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,355.6,0.014438,0.009004,0.9694,0.7847,0.9706,0.9681,0.7897,0.7797,0.89,3.17
2,662.9,0.008939,0.008887,0.9736,0.7876,0.974,0.9732,0.7909,0.7843,0.81,3.13
3,969.4,0.008851,0.008853,0.9737,0.7911,0.9744,0.973,0.7939,0.7884,0.79,3.17
4,1275.8,0.0088,0.008808,0.9752,0.792,0.9755,0.9748,0.7958,0.7882,0.76,3.07
5,1582.0,0.008765,0.008826,0.9746,0.7914,0.9749,0.9742,0.7974,0.7854,0.82,3.05
6,1888.4,0.008737,0.008778,0.9751,0.7934,0.9753,0.9748,0.7974,0.7895,0.69,3.05
7,2194.8,0.008714,0.00877,0.9748,0.7931,0.975,0.9747,0.7957,0.7905,0.68,3.07
8,2501.1,0.008694,0.008749,0.9762,0.7933,0.9765,0.9758,0.7968,0.7898,0.7,3.03
9,2807.7,0.008676,0.008758,0.9762,0.7946,0.9767,0.9757,0.7995,0.7897,0.69,3.04
10,3114.0,0.008659,0.008725,0.9768,0.7954,0.9771,0.9766,0.7991,0.7917,0.72,3.03
11,3420.2,0.008644,0.008748,0.9763,0.7935,0.9767,0.976,0.7987,0.7885,0.71,3.01
12,3726.5,0.008628,0.00875,0.9762,0.7952,0.9765,0.9759,0.7987,0.7917,0.74,3.06
13,4032.6,0.008614,0.00873,0.9765,0.7947,0.9767,0.9763,0.7969,0.7926,0.69,3.02
14,4339.1,0.008598,0.008724,0.9778,0.7946,0.9782,0.9774,0.7971,0.7921,0.69,3.03
15,4645.5,0.008583,0.008721,0.9776,0.7956,0.9778,0.9774,0.7986,0.7927,0.66,3.05
16,4951.9,0.008567,0.008726,0.9769,0.7955,0.9769,0.977,0.7971,0.7939,0.64,3.04
17,5258.2,0.008552,0.008756,0.9747,0.7961,0.9748,0.9745,0.8001,0.7922,0.63,3.03
18,5564.8,0.008534,0.008761,0.9752,0.7941,0.9756,0.9747,0.7961,0.7922,0.62,3.03
19,5871.2,0.008517,0.008748,0.977,0.7948,0.9774,0.9766,0.798,0.7916,0.68,3.05
20,6177.7,0.008498,0.008753,0.9775,0.795,0.978,0.9769,0.7969,0.7932,0.66,3.03
21,6484.0,0.008479,0.008778,0.9763,0.7946,0.9765,0.9761,0.7988,0.7905,0.68,3.03
22,6790.6,0.008459,0.008767,0.976,0.7963,0.9762,0.9759,0.8001,0.7925,0.64,3.05
23,7097.1,0.008435,0.008814,0.9757,0.7946,0.9762,0.9753,0.7978,0.7915,0.65,3.04
24,7403.8,0.00841,0.008818,0.9755,0.7934,0.9758,0.9752,0.7952,0.7917,0.66,3.06
25,7710.3,0.008385,0.008825,0.9758,0.7923,0.9762,0.9754,0.7947,0.7899,0.63,3.02
26,8016.8,0.008357,0.008871,0.9758,0.7913,0.9767,0.9749,0.7952,0.7875,0.65,3.05
27,8323.5,0.00833,0.008877,0.9749,0.7888,0.9751,0.9746,0.7917,0.786,0.64,3.04
28,8630.0,0.008301,0.008922,0.9758,0.7909,0.9761,0.9754,0.7934,0.7885,0.65,3.03
29,8936.4,0.008268,0.008919,0.976,0.7896,0.9761,0.976,0.7922,0.787,0.63,3.06
30,9242.9,0.008237,0.00897,0.9756,0.7873,0.976,0.9752,0.7905,0.7842,0.66,3.04
