epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,302.2,0.014542,0.009972,0.8968,0.7911,0.9048,0.889,0.8023,0.7802,2.02,2.88
2,604.3,0.009821,0.009792,0.8991,0.7946,0.9006,0.8977,0.8004,0.7889,1.83,2.78
3,906.4,0.009694,0.009689,0.9063,0.7959,0.9149,0.8978,0.8058,0.7862,1.91,2.77
4,1208.5,0.009622,0.009675,0.906,0.7964,0.9136,0.8986,0.803,0.7899,1.88,2.79
5,1510.7,0.009571,0.009633,0.9053,0.7979,0.9101,0.9005,0.8044,0.7915,1.82,2.73
6,1812.8,0.009535,0.009602,0.9053,0.7989,0.9149,0.8959,0.8089,0.7891,1.78,2.73
7,2115.1,0.009502,0.009567,0.9066,0.8001,0.913,0.9003,0.8076,0.7928,1.8,2.74
8,2417.3,0.009475,0.009563,0.9075,0.8016,0.9138,0.9012,0.8088,0.7945,1.78,2.76
9,2719.5,0.00945,0.009552,0.9087,0.8015,0.915,0.9025,0.8089,0.7943,1.79,2.76
10,3021.7,0.009427,0.009538,0.9083,0.8009,0.9126,0.904,0.8064,0.7954,1.8,2.75
11,3323.9,0.009408,0.009509,0.9085,0.8016,0.9147,0.9024,0.8068,0.7965,1.82,2.77
12,3626.2,0.009387,0.009498,0.908,0.8033,0.9122,0.9039,0.8075,0.7993,1.79,2.73
13,3928.5,0.009368,0.009502,0.9073,0.8026,0.9128,0.9018,0.8069,0.7983,1.78,2.74
14,4230.7,0.00935,0.009494,0.9088,0.8037,0.9152,0.9025,0.8104,0.7971,1.78,2.74
15,4533.0,0.009332,0.009489,0.9082,0.8044,0.912,0.9044,0.8092,0.7997,1.79,2.74
16,4835.3,0.009314,0.00948,0.9091,0.8044,0.9146,0.9036,0.8108,0.7981,1.77,2.75
17,5137.7,0.009297,0.009519,0.9083,0.8019,0.914,0.9027,0.8073,0.7966,1.8,2.78
18,5440.0,0.009279,0.009468,0.9092,0.8044,0.9146,0.904,0.8099,0.7991,1.77,2.73
19,5742.3,0.009262,0.009472,0.9084,0.8054,0.9137,0.9032,0.8104,0.8004,1.76,2.72
20,6044.6,0.009244,0.009483,0.9076,0.8041,0.9113,0.904,0.8095,0.7988,1.76,2.72
21,6346.9,0.009227,0.009489,0.9087,0.8047,0.9153,0.9022,0.8098,0.7997,1.77,2.73
22,6649.2,0.00921,0.009513,0.9087,0.8051,0.9149,0.9025,0.8108,0.7995,1.84,2.77
23,6951.5,0.009192,0.009487,0.9076,0.8047,0.9113,0.9039,0.8091,0.8004,1.78,2.74
24,7253.8,0.009174,0.009501,0.9087,0.8044,0.9151,0.9023,0.8105,0.7984,1.76,2.73
25,7556.1,0.009156,0.009526,0.9075,0.8046,0.912,0.903,0.8099,0.7994,1.77,2.76
26,7858.3,0.009138,0.009544,0.9074,0.8037,0.9118,0.903,0.8107,0.7968,1.75,2.78
27,8160.5,0.009119,0.009565,0.9075,0.803,0.9129,0.9022,0.8079,0.7981,1.77,2.74
28,8462.8,0.009099,0.009547,0.9074,0.8037,0.9125,0.9025,0.8088,0.7986,1.76,2.72
29,8765.0,0.00908,0.009564,0.9069,0.8012,0.9101,0.9037,0.8069,0.7957,1.77,2.77
30,9067.2,0.00906,0.009545,0.908,0.8035,0.9124,0.9036,0.8067,0.8003,1.77,2.75
31,9369.3,0.00904,0.009571,0.9071,0.8028,0.9107,0.9035,0.8071,0.7984,1.77,2.74
32,9671.5,0.009021,0.009579,0.9072,0.8037,0.911,0.9035,0.8095,0.7979,1.76,2.75
33,9973.9,0.008999,0.009621,0.9067,0.8016,0.9102,0.9032,0.8061,0.7972,1.75,2.76
