epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,302.5,0.014795,0.010201,0.8921,0.7821,0.9067,0.878,0.7919,0.7726,2.22,2.93
2,604.8,0.009993,0.009926,0.8938,0.7897,0.8992,0.8885,0.7968,0.7828,1.99,2.87
3,907.2,0.009837,0.009837,0.8987,0.7915,0.907,0.8905,0.799,0.7841,2.05,2.85
4,1209.4,0.009746,0.009771,0.9014,0.7915,0.9081,0.8947,0.8011,0.7822,1.94,2.84
5,1511.7,0.009683,0.009727,0.9006,0.7957,0.9079,0.8934,0.8018,0.7898,1.9,2.82
6,1814.1,0.009637,0.009699,0.9015,0.7974,0.9103,0.8929,0.8057,0.7893,1.87,2.8
7,2116.5,0.009598,0.009653,0.9036,0.7968,0.9113,0.8961,0.8038,0.79,1.88,2.81
8,2418.8,0.009565,0.009675,0.9013,0.7965,0.9058,0.8969,0.8028,0.7903,1.87,2.83
9,2721.1,0.009536,0.009681,0.9028,0.7968,0.9092,0.8964,0.8045,0.7893,1.87,2.85
10,3023.3,0.009509,0.009637,0.9017,0.7986,0.9076,0.8957,0.8033,0.794,1.89,2.8
11,3325.7,0.009485,0.009633,0.9035,0.7995,0.9087,0.8983,0.8054,0.7937,1.9,2.86
12,3628.2,0.009461,0.009614,0.9035,0.7985,0.9079,0.8992,0.8019,0.7953,1.9,2.8
13,3930.8,0.00944,0.009612,0.9058,0.8004,0.9143,0.8975,0.8065,0.7945,1.9,2.81
14,4233.2,0.00942,0.009599,0.9048,0.8001,0.911,0.8988,0.8046,0.7956,1.85,2.79
15,4535.5,0.009399,0.00959,0.9039,0.8011,0.9068,0.901,0.8055,0.7967,1.88,2.8
16,4837.9,0.009379,0.0096,0.9047,0.8011,0.9102,0.8993,0.806,0.7963,1.87,2.82
17,5140.2,0.009359,0.00975,0.9003,0.7969,0.9081,0.8927,0.8045,0.7894,1.95,2.8
18,5442.4,0.009339,0.009597,0.9055,0.8009,0.9096,0.9014,0.8061,0.7958,1.85,2.78
19,5744.9,0.009319,0.00962,0.9046,0.7996,0.9099,0.8994,0.8039,0.7954,1.91,2.78
20,6047.1,0.009298,0.009602,0.9039,0.8002,0.9089,0.8989,0.8053,0.7952,1.85,2.78
21,6349.4,0.009277,0.009629,0.9043,0.8012,0.9086,0.9,0.8074,0.795,1.85,2.8
22,6651.9,0.009257,0.009636,0.9043,0.8011,0.9105,0.8982,0.8058,0.7964,1.93,2.81
23,6954.4,0.009235,0.00964,0.9039,0.7991,0.9088,0.8991,0.8034,0.7947,1.84,2.78
24,7256.9,0.009213,0.009649,0.9038,0.7991,0.9099,0.8977,0.8036,0.7946,1.85,2.78
25,7559.5,0.009192,0.009679,0.9038,0.7993,0.9077,0.8998,0.8043,0.7943,1.87,2.81
26,7862.1,0.009171,0.009704,0.9036,0.7998,0.9077,0.8996,0.8057,0.794,1.85,2.81
27,8164.7,0.009148,0.009752,0.9035,0.7986,0.9099,0.8972,0.8041,0.7933,1.89,2.8
28,8467.3,0.009126,0.009768,0.8991,0.7981,0.9055,0.8928,0.8026,0.7936,1.88,2.79
29,8769.8,0.009102,0.00982,0.9011,0.7951,0.9073,0.895,0.8007,0.7897,1.89,2.81
30,9072.5,0.00908,0.009777,0.9027,0.7973,0.9079,0.8975,0.8027,0.792,1.88,2.79
