epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,117.3,0.021083,0.008858,0.9726,0.7922,0.9725,0.9727,0.8004,0.7841,0.88,2.93
2,234.2,0.008788,0.008783,0.9742,0.7957,0.9745,0.9739,0.8021,0.7895,0.67,2.9
3,351.3,0.008703,0.008726,0.9771,0.7981,0.9775,0.9767,0.803,0.7933,0.78,2.86
4,469.5,0.008654,0.00868,0.9783,0.799,0.9785,0.9781,0.8031,0.795,0.7,2.83
5,587.5,0.008619,0.008667,0.9785,0.7995,0.9788,0.9782,0.8054,0.7936,0.65,2.8
6,705.5,0.008591,0.008649,0.9777,0.8011,0.9777,0.9778,0.8055,0.7967,0.58,2.81
7,823.0,0.008567,0.008622,0.9787,0.8018,0.9789,0.9785,0.8051,0.7987,0.59,2.78
8,940.1,0.008547,0.008612,0.9795,0.8039,0.9798,0.9793,0.8092,0.7986,0.61,2.84
9,1057.9,0.008529,0.008618,0.9794,0.8027,0.9796,0.9792,0.8078,0.7977,0.6,2.79
10,1175.3,0.008512,0.008623,0.9776,0.8027,0.9779,0.9773,0.8063,0.799,0.55,2.79
11,1293.4,0.008497,0.008616,0.9802,0.8045,0.9807,0.9798,0.809,0.8001,0.59,2.84
12,1410.7,0.008482,0.008612,0.9791,0.8035,0.9795,0.9787,0.8074,0.7996,0.57,2.77
13,1527.6,0.008469,0.008613,0.9787,0.8024,0.9789,0.9785,0.8056,0.7994,0.55,2.77
14,1644.7,0.008457,0.008614,0.98,0.8023,0.9804,0.9796,0.8058,0.7989,0.58,2.77
15,1761.5,0.008444,0.008605,0.9801,0.8027,0.9803,0.9798,0.8061,0.7993,0.55,2.79
16,1877.5,0.008432,0.008605,0.9798,0.8023,0.9802,0.9794,0.8055,0.7992,0.57,2.76
17,1994.0,0.00842,0.008615,0.979,0.8032,0.9793,0.9788,0.8065,0.7999,0.55,2.77
18,2110.2,0.008407,0.008636,0.9794,0.8025,0.9795,0.9793,0.8063,0.7988,0.55,2.77
19,2226.0,0.008396,0.008622,0.9799,0.803,0.9802,0.9797,0.8059,0.8001,0.58,2.77
20,2342.0,0.008384,0.008629,0.9797,0.8026,0.9799,0.9794,0.8057,0.7994,0.56,2.77
21,2458.5,0.008371,0.008651,0.9792,0.803,0.9795,0.9788,0.8064,0.7997,0.54,2.78
22,2575.0,0.008361,0.008651,0.9789,0.8041,0.9791,0.9786,0.8084,0.7998,0.55,2.78
23,2692.3,0.008351,0.008662,0.9795,0.8034,0.9799,0.9791,0.8073,0.7996,0.6,2.78
24,2809.5,0.008339,0.008668,0.9789,0.8022,0.9792,0.9787,0.8057,0.7987,0.54,2.79
25,2932.3,0.00833,0.008662,0.9787,0.8026,0.979,0.9785,0.8068,0.7985,0.54,2.78
26,3055.3,0.008318,0.008684,0.9791,0.8014,0.9794,0.9787,0.8051,0.7977,0.54,2.76
27,3178.6,0.008309,0.008688,0.9786,0.8022,0.9789,0.9784,0.8072,0.7972,0.54,2.79
28,3302.1,0.008299,0.008707,0.9791,0.8,0.9795,0.9786,0.8037,0.7964,0.53,2.79
29,3425.2,0.00829,0.008713,0.9789,0.8005,0.9792,0.9785,0.8045,0.7966,0.54,2.78
30,3548.7,0.00828,0.008712,0.979,0.7999,0.9793,0.9787,0.8038,0.7962,0.56,2.78
