epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,55.9,0.022356,0.009063,0.965,0.7779,0.9667,0.9634,0.7842,0.7718,1.3,3.42
2,111.8,0.008964,0.008964,0.9653,0.7856,0.9662,0.9645,0.7906,0.7807,1.29,3.34
3,166.6,0.008874,0.008888,0.9685,0.7859,0.969,0.968,0.7912,0.7808,1.22,3.29
4,222.2,0.008829,0.008881,0.9686,0.7859,0.969,0.9682,0.7909,0.7809,1.22,3.29
5,277.3,0.008797,0.008861,0.9687,0.7905,0.9691,0.9682,0.7958,0.7852,1.25,3.28
6,332.7,0.008775,0.008829,0.9708,0.7915,0.9711,0.9705,0.7987,0.7845,1.25,3.3
7,388.6,0.008756,0.008813,0.9708,0.7921,0.9712,0.9704,0.7968,0.7875,1.22,3.25
8,443.7,0.008738,0.008806,0.9708,0.7896,0.9712,0.9704,0.7942,0.7851,1.21,3.26
9,499.2,0.008723,0.00882,0.9703,0.7914,0.9706,0.9699,0.7956,0.7871,1.2,3.23
10,555.2,0.00871,0.008805,0.9712,0.7914,0.9716,0.9707,0.7956,0.7873,1.22,3.23
11,610.9,0.008696,0.008808,0.971,0.7909,0.9715,0.9704,0.7957,0.7861,1.21,3.23
12,666.0,0.008685,0.008794,0.9725,0.7904,0.9732,0.9718,0.7945,0.7864,1.23,3.24
13,721.2,0.008673,0.008802,0.9718,0.7913,0.9719,0.9716,0.7949,0.7877,1.2,3.31
14,776.9,0.008662,0.008806,0.9712,0.7917,0.9714,0.971,0.7959,0.7874,1.22,3.24
15,832.1,0.00865,0.008793,0.9722,0.7923,0.9724,0.972,0.7963,0.7884,1.21,3.25
16,887.8,0.00864,0.008793,0.9718,0.7912,0.972,0.9715,0.7959,0.7865,1.2,3.23
17,942.9,0.008629,0.008791,0.9722,0.791,0.9724,0.9719,0.795,0.787,1.21,3.24
18,998.0,0.008618,0.008807,0.9716,0.7923,0.9719,0.9713,0.7965,0.7882,1.2,3.25
19,1053.4,0.008608,0.008805,0.9719,0.7903,0.9721,0.9716,0.7937,0.7869,1.21,3.23
20,1108.5,0.008598,0.008805,0.9717,0.7913,0.9719,0.9714,0.7951,0.7875,1.2,3.24
21,1163.8,0.008589,0.00881,0.9718,0.7907,0.9723,0.9714,0.7945,0.787,1.21,3.23
22,1218.9,0.008578,0.008819,0.9721,0.7916,0.9724,0.9718,0.7958,0.7875,1.2,3.26
23,1274.3,0.008568,0.008832,0.971,0.7888,0.9714,0.9706,0.7922,0.7855,1.2,3.21
24,1329.4,0.008558,0.008828,0.972,0.7896,0.9722,0.9717,0.793,0.7863,1.2,3.22
25,1384.6,0.008547,0.00884,0.9717,0.7894,0.9722,0.9713,0.7924,0.7865,1.21,3.25
26,1440.6,0.008539,0.008853,0.9716,0.7883,0.972,0.9713,0.7916,0.785,1.2,3.24
27,1495.9,0.008528,0.00885,0.971,0.7896,0.9715,0.9704,0.7927,0.7866,1.19,3.25
28,1551.4,0.008519,0.00887,0.9707,0.7896,0.9713,0.97,0.7925,0.7867,1.2,3.23
29,1606.7,0.008508,0.008884,0.9704,0.7887,0.9708,0.97,0.7918,0.7855,1.2,3.24
30,1661.7,0.0085,0.008885,0.9711,0.7878,0.9715,0.9707,0.7915,0.7841,1.19,3.24
31,1716.9,0.008492,0.008878,0.9716,0.7882,0.972,0.9712,0.792,0.7844,1.2,3.24
32,1772.6,0.008481,0.008907,0.9713,0.7886,0.9717,0.9708,0.7921,0.785,1.2,3.23
