epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,138.2,0.015741,0.01013,0.9227,0.7071,0.9256,0.9199,0.7198,0.6949,1.9,4.1
2,276.0,0.010031,0.01001,0.9265,0.7144,0.9276,0.9254,0.7255,0.7037,1.92,4.06
3,413.4,0.009904,0.00993,0.9299,0.7173,0.9315,0.9283,0.7282,0.7068,1.9,4.06
4,550.7,0.009828,0.009865,0.9333,0.72,0.9347,0.9319,0.7352,0.7054,1.89,4.03
5,687.8,0.009771,0.009832,0.934,0.7217,0.936,0.932,0.7307,0.7129,1.91,4.04
6,825.2,0.009727,0.009799,0.9338,0.7219,0.935,0.9325,0.7307,0.7133,1.87,4.04
7,961.8,0.009687,0.00979,0.9357,0.7252,0.9369,0.9346,0.7355,0.7152,1.88,4.04
8,1098.9,0.009651,0.009757,0.9368,0.7247,0.9377,0.9359,0.7347,0.7151,1.89,4.03
9,1235.8,0.009618,0.009756,0.9366,0.7249,0.9384,0.9347,0.734,0.716,1.89,4.01
10,1373.0,0.009587,0.009744,0.9359,0.7247,0.9373,0.9346,0.7317,0.7178,1.88,4.02
11,1509.9,0.009557,0.009743,0.938,0.7265,0.9397,0.9363,0.735,0.7182,1.9,4.0
12,1648.0,0.009523,0.00975,0.9377,0.7254,0.9385,0.9368,0.7339,0.717,1.91,3.99
13,1785.2,0.009493,0.00974,0.9376,0.7265,0.9382,0.937,0.7345,0.7187,1.9,3.99
14,1921.7,0.009461,0.009768,0.9373,0.7273,0.9389,0.9356,0.7378,0.717,1.9,4.0
15,2060.2,0.009429,0.009768,0.9366,0.7265,0.9378,0.9354,0.7346,0.7186,1.9,4.0
16,2197.0,0.009395,0.009775,0.9368,0.7246,0.938,0.9357,0.7323,0.717,1.89,3.98
17,2333.6,0.00936,0.00982,0.9357,0.725,0.9364,0.9351,0.733,0.7172,1.87,3.99
18,2470.4,0.009323,0.009815,0.935,0.7257,0.936,0.934,0.7337,0.7178,1.87,3.99
19,2608.8,0.009285,0.00983,0.9362,0.7251,0.937,0.9355,0.7335,0.7168,1.89,3.98
20,2746.7,0.009247,0.009871,0.934,0.7243,0.9351,0.9329,0.7315,0.7172,1.88,4.01
21,2884.0,0.009206,0.009903,0.9343,0.7225,0.9352,0.9334,0.73,0.7151,1.9,4.01
22,3021.4,0.009167,0.009945,0.933,0.7252,0.9338,0.9322,0.7317,0.7189,1.89,4.0
23,3158.9,0.009127,0.009991,0.9329,0.7233,0.9336,0.9322,0.7295,0.7171,1.89,4.0
24,3295.9,0.009086,0.01006,0.9316,0.7209,0.9324,0.9309,0.7274,0.7145,1.88,3.99
25,3434.3,0.009048,0.010091,0.932,0.7219,0.9328,0.9311,0.7294,0.7145,1.88,4.01
26,3571.7,0.009008,0.010159,0.9317,0.7176,0.9324,0.931,0.7245,0.7107,1.91,4.04
27,3710.0,0.008971,0.010174,0.9309,0.7191,0.9314,0.9305,0.7253,0.7131,1.88,4.01
28,3847.3,0.008932,0.010219,0.9322,0.7186,0.933,0.9315,0.7242,0.7131,1.89,3.99
